I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5281,No,1991,4,20,17,8,20.2,33,4.1,,,4.1,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  BADAKHSTAN, KABUL",36.416,70.912,40,,,,,,,,1,,,100,2,,,,,,,,1,,,100,2
5282,Yes,1991,4,22,21,56,51.8,10,7.6,7.6,7.4,6.3,,,7.6,10,COSTA RICA,,"COSTA RICA:  LIMON, PANDORA;  PANAMA",9.685,-83.073,90,87,2,,,895,3,510,4,,3,,,90,2,,,895,3,510,4,,3,,
5285,No,1991,4,24,10,54,35.7,33,4.5,,,4.5,,,,,TURKEY,,TURKEY:  ERZURUM PROVINCE,39.597,41.118,140,1,1,,,3,1,,1,,,,2,1,1,,,3,1,,1,,,,2
5286,No,1991,4,29,9,12,48.1,17,7,,7,6.2,,,,9,GEORGIA,,"GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI",42.453,43.673,40,270,3,,,,,1700,4,,4,,,270,3,,,,,1700,4,,4,,
5288,No,1991,5,4,3,42,54.5,10,6.2,,6.2,5.6,,,,,PANAMA,,"PANAMA:  CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO",9.542,-82.418,100,,,,,36,1,,2,,,,,,,,,36,1,,2,,,,
5289,No,1991,5,15,14,28,50.1,14,4.9,,,4.9,,,,5,GEORGIA,,GEORGIA:  KHEKHETI,42.565,43.349,40,,1,,,,,,1,45,1,,,,1,,,,,,1,45,1,,
5290,No,1991,5,26,10,59,48.9,33,4.5,,4.5,5.1,,,,,MALAYSIA,,MALAYSIA:  KALIMANTAN:  RANAU,5.865,116.746,170,1,1,,,,,,1,,,,,1,1,,,,,,1,,,,
5291,No,1991,6,15,0,59,20.3,9,6.1,,6.1,6.1,,,,8,GEORGIA,,"GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA",42.461,44.009,40,8,1,,,200,3,,3,,,,,8,1,,,200,3,,,,,,
5292,No,1991,6,15,11,15,28,10,5.5,,5.5,5.7,,,,,PHILIPPINES,,"PHILIPPINES:  LUZON:  MANILA, PINATUBO ERUPTION",15.119,120.355,170,,,,,,,,,,,,,800,3,,,4,1,,3,,,,
5293,No,1991,6,16,11,7,10.6,26,4.5,,4.5,4.6,,,,,TURKEY,,TURKEY:  KAGIZMAN,39.984,42.875,140,,,,,,,,2,,,,,,,,,,,,,,,,
5294,No,1991,6,20,5,18,52.5,31,7.5,7.5,7,6.2,,,,6,INDONESIA,,"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO",1.196,122.787,170,,,,,,,,3,,,1500,4,,,,,,,,3,,,1500,4
5295,No,1991,6,28,14,43,54.5,11,5.1,,5.1,5.8,,,,7,USA,CA,"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES",34.262,-118.002,150,2,1,,,104,3,33.5,4,,,,,2,1,,,104,3,33.5,4,,,,
5296,No,1991,7,4,11,43,10.4,29,6.5,,6.5,6.2,,,,,INDONESIA,,"INDONESIA:  TIMOR:  KALABAHI, DILI",-8.099,124.681,60,28,1,,,181,3,7.7,3,1150,4,,,28,1,,,181,3,7.7,3,1150,4,,
5298,No,1991,7,12,10,42,21.2,11,5.6,5.6,5.7,5.3,,,,8,ROMANIA,,"ROMANIA:  BANLOC, DETA, TIMISOARA",45.364,21.057,110,2,1,,,30,2,,1,,,,2,2,1,,,30,1,,1,,,,2
5299,No,1991,7,18,11,56,30.6,12,5.6,5.6,5.5,5.7,,,,8,ROMANIA,,ROMANIA:  ORSAVA,44.888,22.407,110,,,,,,,,2,,,615,3,,,,,,,,2,,,615,3
